Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Shigella flexneri		strain: PNUSAE124021	623	PDT001555170.1	GCA_027503065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	32634	4396710	2023-01-02	4471	PRJNA218110	SAMN32520457
Shigella flexneri		strain: PNUSAE124022	623	PDT001555171.1	GCA_027503145.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29894	4556167	2023-01-02	4650	PRJNA218110	SAMN32520456
Shigella flexneri		strain: PNUSAE124015	623	PDT001552373.1	GCA_027559535.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	27087	4382353	2023-01-03	4473	PRJNA218110	SAMN32513372
Shigella flexneri		strain: PNUSAE124016	623	PDT001552370.1	GCA_027559675.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29310	4650929	2023-01-03	4794	PRJNA218110	SAMN32513373
Shigella flexneri		strain: PNUSAE123963	623	PDT001552216.1	GCA_027561755.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31185	4551386	2023-01-03	4657	PRJNA218110	SAMN32494510
Shigella flexneri		strain: PNUSAE123961	623	PDT001552211.1	GCA_027561875.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	34447	4552252	2023-01-03	4682	PRJNA218110	SAMN32494513
Shigella flexneri		strain: PNUSAE123964	623	PDT001552174.1	GCA_027562645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	33535	4449144	2023-01-03	4522	PRJNA218110	SAMN32494511
Shigella flexneri		strain: PNUSAE123965	623	PDT001552169.1	GCA_027562765.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29467	4690442	2023-01-03	4834	PRJNA218110	SAMN32494512
Shigella flexneri		strain: PNUSAE124049	623	PDT001557188.1	GCA_027596645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29468	4476719	2023-01-09	4560	PRJNA218110	SAMN32542416
Shigella flexneri		strain: PNUSAE123934	623	PDT001557369.1	GCA_027599185.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31186	4529551	2023-01-09	4649	PRJNA218110	SAMN32542759
Shigella flexneri		strain: PNUSAE123936	623	PDT001557368.1	GCA_027599245.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29082	4343632	2023-01-09	4416	PRJNA218110	SAMN32542758
Shigella flexneri		strain: PNUSAE124134	623	PDT001557535.1	GCA_027607975.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	33528	4490276	2023-01-09	4580	PRJNA218110	SAMN32543528
Shigella flexneri		strain: 1804087	623	PDT001558635.1	GCA_027612225.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28670	4440209	2023-01-09	4484	PRJNA315192	SAMN32544095
Shigella flexneri		strain: 1804075	623	PDT001558616.1	GCA_027612265.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29636	4396460	2023-01-09	4461	PRJNA315192	SAMN32544096
Shigella flexneri		strain: 1804039	623	PDT001558611.1	GCA_027612325.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31186	4257471	2023-01-09	4288	PRJNA315192	SAMN32544087
Shigella flexneri		strain: 1804073	623	PDT001558610.1	GCA_027612345.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29043	4440619	2023-01-09	4490	PRJNA315192	SAMN32544086
Shigella flexneri		strain: 1804079	623	PDT001558589.1	GCA_027612645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29730	4653785	2023-01-09	4739	PRJNA315192	SAMN32544002
Shigella flexneri		strain: 1804096	623	PDT001558588.1	GCA_027612705.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	30051	4401988	2023-01-09	4462	PRJNA315192	SAMN32544004
Shigella flexneri		strain: 1804071	623	PDT001558603.1	GCA_027614165.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29260	4413395	2023-01-09	4482	PRJNA315192	SAMN32544000
Shigella flexneri		strain: 1805060	623	PDT001564817.1	GCA_027677835.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29730	4498231	2023-01-12	4554	PRJNA315192	SAMN32603157
Shigella flexneri		strain: PNUSAE124382	623	PDT001560947.1	GCA_027726735.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31186	4422396	2023-01-12	4521	PRJNA218110	SAMN32578684
Shigella flexneri		strain: PNUSAE124421	623	PDT001565629.1	GCA_027740685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29468	4526280	2023-01-12	4627	PRJNA218110	SAMN32614206
Shigella flexneri		strain: PNUSAE124424	623	PDT001565631.1	GCA_027743695.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28914	4537642	2023-01-12	4661	PRJNA218110	SAMN32614205
Shigella flexneri		strain: PNUSAE124375	623	PDT001560322.1	GCA_027753445.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	33535	4435159	2023-01-12	4502	PRJNA218110	SAMN32576510
Shigella flexneri		strain: PNUSAE124425	623	PDT001566685.1	GCA_027777065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31186	4442819	2023-01-13	4544	PRJNA218110	SAMN32616394
Shigella flexneri		strain: 1806147	623	PDT001567787.1	GCA_027792095.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29052	4435680	2023-01-13	4494	PRJNA315192	SAMN32629193
Shigella flexneri		strain: 1806127	623	PDT001567784.1	GCA_027792155.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29798	4405098	2023-01-13	4463	PRJNA315192	SAMN32629190
Shigella flexneri		strain: 1806143	623	PDT001567782.1	GCA_027792175.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29798	4385666	2023-01-13	4434	PRJNA315192	SAMN32629196
Shigella flexneri		strain: 1806157	623	PDT001567778.1	GCA_027792275.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	26950	4397425	2023-01-13	4444	PRJNA315192	SAMN32629200
Shigella flexneri		strain: 1806138	623	PDT001567776.1	GCA_027792315.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29470	4460825	2023-01-13	4491	PRJNA315192	SAMN32629188
Shigella flexneri		strain: 1806117	623	PDT001567774.1	GCA_027792335.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29045	4441183	2023-01-13	4487	PRJNA315192	SAMN32629184
Shigella flexneri		strain: 1806174	623	PDT001567770.1	GCA_027792435.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29799	4377006	2023-01-13	4447	PRJNA315192	SAMN32629182
Shigella flexneri		strain: PNUSAE123937	623	PDT001569970.1	GCA_027810795.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	33535	4528553	2023-01-13	4640	PRJNA218110	SAMN32642078
Shigella flexneri		strain: PNUSAE124812	623	PDT001571955.1	GCA_027843435.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29084	4385908	2023-01-14	4470	PRJNA218110	SAMN32662759
Shigella flexneri		strain: PNUSAE124813	623	PDT001571956.1	GCA_027844375.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	30300	4518132	2023-01-14	4577	PRJNA218110	SAMN32662758
Shigella flexneri		strain: PNUSAE124869	623	PDT001572047.1	GCA_027845135.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31186	4445214	2023-01-14	4544	PRJNA218110	SAMN32663802
Shigella flexneri		strain: PNUSAE124860	623	PDT001572017.1	GCA_027845615.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29902	4522135	2023-01-14	4636	PRJNA218110	SAMN32662922
Shigella flexneri		strain: PNUSAE124863	623	PDT001572012.1	GCA_027845635.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29418	4414018	2023-01-14	4506	PRJNA218110	SAMN32662923
Shigella flexneri		strain: PNUSAE124864	623	PDT001572016.1	GCA_027847035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31689	4417025	2023-01-14	4504	PRJNA218110	SAMN32662924
Shigella flexneri		strain: PNUSAE124387	623	PDT001563912.1	GCA_027871805.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	34446	4566059	2023-01-11	4649	PRJNA218110	SAMN32602462
Shigella flexneri		strain: PNUSAE124386	623	PDT001563910.1	GCA_027871825.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	32143	4458811	2023-01-11	4574	PRJNA218110	SAMN32602461
Shigella flexneri		strain: PNUSAE124389	623	PDT001563907.1	GCA_027871885.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	34446	4474348	2023-01-11	4544	PRJNA218110	SAMN32602459
Shigella flexneri		strain: PNUSAE124388	623	PDT001563911.1	GCA_027872785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	34446	4560037	2023-01-11	4631	PRJNA218110	SAMN32602460
Shigella flexneri		strain: PNUSAE124395	623	PDT001564725.1	GCA_027875185.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	25084	4411554	2023-01-12	4500	PRJNA218110	SAMN32604163
Shigella flexneri		strain: 1805018	623	PDT001564807.1	GCA_027875745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29046	4432259	2023-01-12	4468	PRJNA315192	SAMN32603057
Shigella flexneri		strain: 1805016	623	PDT001564805.1	GCA_027876225.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28431	4359014	2023-01-12	4414	PRJNA315192	SAMN32603055
Shigella flexneri		strain: 1805067	623	PDT001564804.1	GCA_027876245.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28928	4562733	2023-01-12	4635	PRJNA315192	SAMN32603056
Shigella flexneri		strain: 1805002	623	PDT001564806.1	GCA_027877685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29046	4563563	2023-01-12	4612	PRJNA315192	SAMN32603058
Shigella flexneri		strain: PNUSAE124397	623	PDT001564726.1	GCA_027877745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	26772	4411504	2023-01-12	4512	PRJNA218110	SAMN32604162
Shigella flexneri		strain: PNUSAE124577	623	PDT001570576.1	GCA_027891675.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	23882	4499118	2023-01-18	4615	PRJNA218110	SAMN32644308
Shigella flexneri		strain: PNUSAE124581	623	PDT001570585.1	GCA_027893675.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	24553	4487066	2023-01-18	4612	PRJNA218110	SAMN32644309
Shigella flexneri		strain: PNUSAE124536	623	PDT001570587.1	GCA_027893695.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31881	4415864	2023-01-18	4514	PRJNA218110	SAMN32644326
Shigella flexneri		strain: PNUSAE124658	623	PDT001570742.1	GCA_027902035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	21827	4388681	2023-01-18	4509	PRJNA218110	SAMN32644617
Shigella flexneri		strain: PNUSAE124657	623	PDT001570732.1	GCA_027902175.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	21261	4368719	2023-01-18	4499	PRJNA218110	SAMN32644622
Shigella flexneri		strain: PNUSAE124766	623	PDT001570914.1	GCA_027903555.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	24801	4383652	2023-01-18	4489	PRJNA218110	SAMN32647350
Shigella flexneri		strain: 1807183	623	PDT001570933.1	GCA_027905615.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	26936	4406717	2023-01-18	4478	PRJNA315192	SAMN32644747
Shigella flexneri		strain: 1807193	623	PDT001570927.1	GCA_027905715.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29799	4397172	2023-01-18	4451	PRJNA315192	SAMN32644441
Shigella flexneri		strain: PNUSAE124765	623	PDT001570920.1	GCA_027905755.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28092	4386054	2023-01-18	4465	PRJNA218110	SAMN32647351
Shigella flexneri		strain: PNUSAE124761	623	PDT001570922.1	GCA_027905775.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	27688	4386290	2023-01-18	4472	PRJNA218110	SAMN32647352
Shigella flexneri		strain: PNUSAE124762	623	PDT001570913.1	GCA_027905795.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31175	4407360	2023-01-18	4509	PRJNA218110	SAMN32647349
Shigella flexneri		strain: PNUSAE124764	623	PDT001570917.1	GCA_027905815.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29082	4386514	2023-01-18	4467	PRJNA218110	SAMN32647353
Shigella flexneri		strain: PNUSAE118681	623	PDT001551587.1	GCA_027908075.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29329	4396973	2023-01-18	4486	PRJNA218110	SAMN32491567
Shigella flexneri		strain: PNUSAE118683	623	PDT001551588.1	GCA_027908095.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29222	4545119	2023-01-18	4637	PRJNA218110	SAMN32491566
Shigella flexneri		strain: PNUSAE112992	623	PDT001551585.1	GCA_027908175.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28463	4387739	2023-01-18	4459	PRJNA218110	SAMN32491565
Shigella flexneri		strain: PNUSAE123933	623	PDT001551510.1	GCA_027909035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	20753	4243362	2023-01-18	4321	PRJNA218110	SAMN32491051
Shigella flexneri		strain: PNUSAE120638	623	PDT001551511.1	GCA_027909055.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	33386	4465251	2023-01-18	4555	PRJNA218110	SAMN32491129
Shigella flexneri		strain: 1798758	623	PDT001551096.1	GCA_027914855.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29046	4526274	2023-01-18	4586	PRJNA315192	SAMN32474167
Shigella flexneri		strain: 1798805	623	PDT001551086.1	GCA_027914995.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29797	4388547	2023-01-18	4449	PRJNA315192	SAMN32474163
Shigella flexneri		isolate: A 60-year-old MSM with well controlled HIV, strain: type 2	623	PDT001572897.1	GCA_027915475.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	30012	4587167	2023-01-18	4728	PRJNA514245	SAMN25006663
Shigella flexneri		strain: HJRA178	623	PDT001572896.1	GCA_027915495.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	20284	4217178	2023-01-18	4301	PRJNA514245	SAMN21566056
Shigella flexneri		strain: PNUSAE125191	623	PDT001580014.1	GCA_027917835.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31599	4406357	2023-01-18	4487	PRJNA218110	SAMN32772252
Shigella flexneri		strain: PNUSAE125298	623	PDT001579979.1	GCA_027918475.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29082	4427372	2023-01-18	4512	PRJNA218110	SAMN32771618
Shigella flexneri		strain: PNUSAE125237	623	PDT001580001.1	GCA_027918995.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31599	4410204	2023-01-18	4492	PRJNA218110	SAMN32771649
Shigella flexneri		strain: PNUSAE124982	623	PDT001579931.1	GCA_027919655.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29236	4432807	2023-01-18	4497	PRJNA218110	SAMN32770950
Shigella flexneri		strain: PNUSAE124985	623	PDT001579930.1	GCA_027919715.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29535	4517562	2023-01-18	4601	PRJNA218110	SAMN32770952
Shigella flexneri		strain: PNUSAE124983	623	PDT001579928.1	GCA_027919755.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29893	4450926	2023-01-18	4506	PRJNA218110	SAMN32770951
Shigella flexneri		strain: PNUSAE125166	623	PDT001579411.1	GCA_027953845.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	22162	4561162	2023-01-25	4693	PRJNA218110	SAMN32767954
Shigella flexneri		strain: 1819563	623	PDT001578965.1	GCA_027959225.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29672	4504135	2023-01-25	4568	PRJNA315192	SAMN32756253
Shigella flexneri		strain: 1819576	623	PDT001578962.1	GCA_027959285.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29048	4506147	2023-01-25	4571	PRJNA315192	SAMN32756238
Shigella flexneri		strain: 1819578	623	PDT001578963.1	GCA_027959305.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29798	4440407	2023-01-25	4492	PRJNA315192	SAMN32756237
Shigella flexneri		strain: 1819530	623	PDT001578948.1	GCA_027959525.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28670	4636117	2023-01-25	4713	PRJNA315192	SAMN32756187
Shigella flexneri		strain: PNUSAE125427	623	PDT001581127.1	GCA_027959745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29800	4559978	2023-01-25	4671	PRJNA218110	SAMN32782688
Shigella flexneri		strain: PNUSAE125428	623	PDT001581126.1	GCA_027959765.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	30582	4495852	2023-01-25	4575	PRJNA218110	SAMN32782689
Shigella flexneri		strain: 1813998	623	PDT001577163.1	GCA_027991825.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28914	4396046	2023-01-26	4460	PRJNA315192	SAMN32731511
Shigella flexneri		strain: PNUSAE125125	623	PDT001577070.1	GCA_027993205.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	22359	4528004	2023-01-26	4657	PRJNA218110	SAMN32734058
Shigella flexneri		strain: PNUSAE125002	623	PDT001577008.1	GCA_027994125.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31126	4535672	2023-01-26	4637	PRJNA218110	SAMN32732447
Shigella flexneri		strain: PNUSAE125044	623	PDT001576989.1	GCA_027994545.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29236	4440918	2023-01-26	4534	PRJNA218110	SAMN32732119
Shigella flexneri		strain: PNUSAE125042	623	PDT001576986.1	GCA_027994585.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	31881	4499108	2023-01-26	4597	PRJNA218110	SAMN32732106
Shigella flexneri		strain: PNUSAE124951	623	PDT001575960.1	GCA_028004965.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29469	4554626	2023-01-26	4648	PRJNA218110	SAMN32721788
Shigella flexneri		strain: PNUSAE124952	623	PDT001575961.1	GCA_028004985.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29468	4551052	2023-01-26	4643	PRJNA218110	SAMN32721789
Shigella flexneri		strain: PNUSAE124953	623	PDT001575958.1	GCA_028005065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29468	4553797	2023-01-26	4649	PRJNA218110	SAMN32721790
Shigella flexneri		strain: PNUSAE124949	623	PDT001575252.1	GCA_028013525.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	32126	4389846	2023-01-26	4480	PRJNA218110	SAMN32718176
Shigella flexneri		strain: PNUSAE124945	623	PDT001575233.1	GCA_028013845.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	30297	4509035	2023-01-26	4605	PRJNA218110	SAMN32717591
Shigella flexneri		strain: PNUSAE124929	623	PDT001573873.1	GCA_028016475.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29894	4419357	2023-01-26	4478	PRJNA218110	SAMN32683048
Shigella flexneri		strain: 1811961	623	PDT001573803.1	GCA_028016555.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29053	4387804	2023-01-26	4444	PRJNA315192	SAMN32679299
Shigella flexneri		strain: 1811901	623	PDT001573799.1	GCA_028016635.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29662	4439876	2023-01-26	4498	PRJNA315192	SAMN32679303
Shigella flexneri		strain: 1810719	623	PDT001573797.1	GCA_028016675.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	27536	4406459	2023-01-26	4469	PRJNA315192	SAMN32679300
Shigella flexneri		strain: 1810680	623	PDT001573789.1	GCA_028016875.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	24805	4341203	2023-01-26	4447	PRJNA315192	SAMN32679289
Shigella flexneri		strain: 1811922	623	PDT001573787.1	GCA_028016915.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	28442	4431284	2023-01-26	4485	PRJNA315192	SAMN32679287
Shigella flexneri		strain: 1810714	623	PDT001573785.1	GCA_028016955.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29797	4445217	2023-01-26	4476	PRJNA315192	SAMN32679285
Shigella flexneri		strain: 1811975	623	PDT001573783.1	GCA_028016975.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	25512	4387424	2023-01-26	4474	PRJNA315192	SAMN32679282
Shigella flexneri		strain: 1811902	623	PDT001573782.1	GCA_028017015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	25567	4419757	2023-01-26	4514	PRJNA315192	SAMN32679283
Shigella flexneri		strain: 1810676	623	PDT001573779.1	GCA_028017055.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29260	4393300	2023-01-26	4458	PRJNA315192	SAMN32679277
