Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Escherichia coli UMNF18		strain: UMNF18	1050617	ASM22000v2	GCA_000220005.2	GenBank	Annotation submitted by University of Minnesota	Complete Genome	5239207	5635305	2011-11-01	5792	PRJNA48455	SAMN02471895
Escherichia coli O7:K1 str. CE10		strain: CE10	1072459	ASM22762v1	GCA_000227625.1	GenBank	Annotation submitted by Institute of Pathogen Biology, CAMS&PUMC	Complete Genome	5313531	5378729	2011-10-06	5269	PRJNA63597	SAMN02603406
Escherichia coli str. 'clone D i2'		strain: clone D i2	885276	ASM23387v1	GCA_000233875.1	GenBank	Annotation submitted by TEDA School of Biological Sciences and Biotechnology, Nankai University	Complete Genome	5038386	5038386	2011-11-03	5049	PRJNA52021	SAMN02603902
Escherichia coli str. 'clone D i14'		strain: clone D i14	885275	ASM23389v1	GCA_000233895.1	GenBank	Annotation submitted by TEDA School of Biological Sciences and Biotechnology, Nankai University	Complete Genome	5038386	5038386	2011-11-03	5049	PRJNA52023	SAMN02603903
Escherichia coli O55:H7 str. RM12579		strain: RM12579	1048689	ASM24551v1	GCA_000245515.1	GenBank	Annotation submitted by USDA/ARS	Complete Genome	5263980	5448306	2012-02-01	5255	PRJNA68245	SAMN02604278
Escherichia coli P12b		strain: P12b	910348	ASM25727v1	GCA_000257275.1	GenBank	Annotation submitted by TEDA School of Biological Sciences and Biotechnology, Nankai University	Complete Genome	4935294	4935294	2012-04-02	4581	PRJNA59455	SAMN02603904
Escherichia coli KO11FL		strain: KO11FL	595495	ASM25802v1	GCA_000258025.1	GenBank	Annotation submitted by University of Florida	Complete Genome	5021812	5027172	2012-04-06	4825	PRJNA62299	SAMN02604168
Escherichia coli W		strain: W	566546	ASM25814v1	GCA_000258145.1	GenBank	Annotation submitted by University of Florida	Complete Genome	4897452	5005347	2012-04-06	4848	PRJNA62301	SAMN02604169
Escherichia coli Xuzhou21		strain: Xuzhou21	741093	ASM26212v1	GCA_000262125.1	GenBank	Annotation submitted by National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention	Complete Genome	5386223	5516736	2012-05-09	5298	PRJNA45823	SAMN02603645
Escherichia coli str. K-12 substr. MG1655		strain: K-12 substr. MG1655	511145	PB_Esch_coli_MG12655_V1	GCA_000269645.2	GenBank		Complete Genome	4638970	4638970	2012-06-15		PRJNA40075	SAMN02596920
Escherichia coli DH1		strain: DH1	536056	ASM27010v1	GCA_000270105.1	GenBank	Annotation submitted by Symbiotic Network Design Laboratory, Graduate School of Information Science and Technology, Osaka University	Complete Genome	4621430	4621430	2010-12-16	7963	PRJDA52077	SAMD00060976
Escherichia coli str. K-12 substr. MG1655		strain: K-12 substr. MG1655	511145	Esch_coli_MG12655_V1	GCA_000273425.1	GenBank		Complete Genome	4638970	4638970	2012-06-25		PRJNA40075	SAMN02597081
Escherichia coli LF82		strain: LF82	591946	ASM28449v1	GCA_000284495.1	GenBank	Annotation submitted by Genoscope	Complete Genome	4773108	4773108	2009-01-27	4545	PRJNA33825	SAMEA3138414
Escherichia coli O25b:H4-ST131		strain: EC958	941322	EC958.v1	GCA_000285655.3	GenBank	Annotation submitted by The University of Queensland	Complete Genome	5109767	5249449	2014-05-29	5137	PRJEA61443	SAMEA2272019
Escherichia coli O104:H4 str. 2009EL-2050		strain: 2009EL-2050	1134782	ASM29925v1	GCA_000299255.1	GenBank	Annotation submitted by Los Alamos National Laboratory	Complete Genome	5253138	5438174	2012-09-25	5305	PRJNA81097	SAMN01831189
Escherichia coli O104:H4 str. 2011C-3493		strain: 2011C-3493	1133852	ASM29945v1	GCA_000299455.1	GenBank	Annotation submitted by Los Alamos National Laboratory	Complete Genome	5273097	5437407	2012-09-27	5270	PRJNA81095	SAMN01831188
Escherichia coli O104:H4 str. 2009EL-2071		strain: 2009EL-2071	1133853	ASM29947v1	GCA_000299475.1	GenBank	Annotation submitted by Los Alamos National Laboratory	Complete Genome	5312586	5389708	2012-09-27	5247	PRJNA81099	SAMN01831190
Escherichia coli APEC O78		strain: APEC O78	1274814	ASM33275v1	GCA_000332755.1	GenBank	Annotation submitted by Iowa State University	Complete Genome	4798435	4798435	2013-01-23	4696	PRJNA184588	SAMN02603426
Escherichia coli str. K-12 substr. MDS42		strain: K-12 substr. MDS42	1110693	ASM35018v1	GCA_000350185.1	GenBank	Annotation submitted by Osaka University	Complete Genome	3976195	3976195	2011-12-02	3754	PRJDB5	SAMD00006056
Escherichia coli O104:H21 str. CFSAN002236		strain: CFSAN002236	1335303	ASM46495v2	GCA_000464955.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4884467	5045919	2017-10-02	5211	PRJNA230969	SAMN02147037
Escherichia coli LY180		strain: LY180	1335916	ASM46851v1	GCA_000468515.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4835601	4835601	2013-09-18	4624	PRJNA203308	SAMN02604176
synthetic Escherichia coli C321.deltaA		strain: C321.deltaA	1385755	ASM47403v1	GCA_000474035.1	GenBank	Annotation submitted by Church Lab, Department of Genetics, Harvard Medical School	Complete Genome	4643553	4643553	2013-10-18	4508	PRJNA215084	SAMN02603139
Escherichia coli PMV-1		strain: PMV-1	1382700	EcoPMV1	GCA_000493595.1	GenBank	Annotation submitted by ULB	Complete Genome	4984940	5210927	2013-09-27	5116	PRJEB4437	SAMEA2272347
Escherichia coli JJ1886		strain: JJ1886	1355100	ASM49375v1	GCA_000493755.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5129938	5308284	2013-10-29	5213	PRJNA218163	SAMN02603887
Escherichia coli str. K-12 substr. MC4100		strain: K-12 substr. MC4100	1403831	MYMC4100	GCA_000499485.1	GenBank	Annotation submitted by EVOECOGENKIEL	Complete Genome	4527247	4527247	2013-11-06	4208	PRJEB4621	SAMEA3138816
Escherichia coli O145:H28 str. RM13514		strain: RM13514	1248902	ASM52003v1	GCA_000520035.1	GenBank	Annotation submitted by USDA, ARS, WRRC, PSM	Complete Genome	5585613	5737294	2014-01-14	5905	PRJNA178648	SAMN02641383
Escherichia coli O145:H28 str. RM13516		strain: RM13516	1248915	ASM52005v1	GCA_000520055.1	GenBank	Annotation submitted by USDA, ARS, WRRC, PSM	Complete Genome	5402276	5559008	2014-01-14	5636	PRJNA178650	SAMN02641384
Escherichia coli	E. coli	strain: ST540	562	ASM59784v1	GCA_000597845.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4758629	4758629	2014-03-19	4776	PRJNA238952	SAMN02647163
Escherichia coli	E. coli	strain: ST540	562	ASM59962v1	GCA_000599625.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4807977	4807977	2014-03-19	4824	PRJNA238952	SAMN02666434
Escherichia coli	E. coli	strain: ST540	562	ASM59964v1	GCA_000599645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4875682	4875682	2014-03-19	4915	PRJNA238952	SAMN02666695
Escherichia coli	E. coli	strain: ST2747	562	ASM59966v1	GCA_000599665.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5054509	5054509	2014-03-19	4910	PRJNA238952	SAMN02666696
Escherichia coli	E. coli	strain: ST2747	562	ASM59968v1	GCA_000599685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4998910	4998910	2014-03-19	4848	PRJNA238952	SAMN02666697
Escherichia coli	E. coli	strain: ST2747	562	ASM59970v1	GCA_000599705.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5090442	5090442	2014-03-19	4967	PRJNA238952	SAMN02666698
Escherichia coli O157:H16 str. 98-3133		strain: 98-3133	1446608	ASM61800v3	GCA_000618005.3	GenBank		Complete Genome	4882073	4882073	2020-04-16		PRJNA218110	SAMN02353067
Escherichia coli O39:NM str. F8704-2		strain: F8704-2	1446739	ASM61890v3	GCA_000618905.3	GenBank		Complete Genome	5372589	5603010	2020-04-16		PRJNA218110	SAMN02353134
Escherichia coli O145:H28 str. RM12761		strain: RM12761	1248903	ASM66239v1	GCA_000662395.1	GenBank	Annotation submitted by USDA, ARS, WRRC, PSM	Complete Genome	5402281	5559014	2014-05-01	5613	PRJNA178649	SAMN03081526
Escherichia coli O145:H28 str. RM12581		strain: RM12581	1248823	ASM67129v1	GCA_000671295.1	GenBank	Annotation submitted by USDA-ARS-WRRC-PSM	Complete Genome	5585611	5737293	2014-05-01	5895	PRJNA178647	SAMN03081527
Escherichia coli Nissle 1917		strain: Nissle 1917	316435	ASM71459v1	GCA_000714595.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5441200	5441200	2014-06-27	5126	PRJNA248167	SAMN02794012
Escherichia coli B7A		strain: B7A	340184	ASM72526v1	GCA_000725265.1	GenBank	Annotation submitted by Shanghai Jiao Tong University	Complete Genome	4944397	5230440	2014-07-14	5492	PRJNA205485	SAMN02918008
Escherichia coli KLY		strain: KLY	1435461	ASM72530v1	GCA_000725305.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4718545	4718545	2014-07-14	4399	PRJNA229104	SAMN02440167
Escherichia coli O157:H7 str. SS17		strain: SS17	1328859	ASM73034v1	GCA_000730345.1	GenBank	Annotation submitted by Penn State	Complete Genome	5523849	5655941	2014-07-17	5721	PRJNA200626	SAMN02872945
Escherichia coli O157:H7 str. EDL933		strain: EDL933	155864	ASM73296v1	GCA_000732965.1	GenBank	Annotation submitted by University of California San Diego	Complete Genome	5547323	5639399	2014-07-24	5920	PRJNA253471	SAMN02905113
Escherichia coli ATCC 25922		strain: ATCC 25922	1322345	ASM74325v1	GCA_000743255.1	GenBank	Annotation submitted by Los Alamos National Laboratory	Complete Genome	5130767	5203440	2014-08-22	4930	PRJNA244551	SAMN02929659
Escherichia coli BW25113		strain: K-12 substr. BW25113	679895	ASM75055v1	GCA_000750555.1	GenBank	Annotation submitted by Universite de Sherbrooke	Complete Genome	4631469	4631469	2014-09-09	4490	PRJNA257976	SAMN03013572
Escherichia coli FAP1		strain: FAP1	1412834	ASM76543v1	GCA_000765435.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	4874704	5254632	2014-10-10	5294	PRJNA260958	SAMN03067748
Escherichia coli	E. coli	strain: ECONIH1	562	ASM78492v1	GCA_000784925.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5310511	5559642	2014-11-17	5589	PRJNA242851	SAMN02709589
Escherichia coli ER2796		strain: ER2796	1245474	ASM80021v1	GCA_000800215.1	GenBank	Annotation submitted by New England Biolabs	Complete Genome	4558663	4558663	2014-12-09	4257	PRJNA263007	SAMN03093203
Escherichia coli K-12		strain: ER3413	83333	ASM80076v1	GCA_000800765.1	GenBank	Annotation submitted by New England Biolabs	Complete Genome	4558660	4558660	2014-12-11	4257	PRJNA263793	SAMN03107000
Escherichia coli RS218		strain: RS218	439184	ASM80084v2	GCA_000800845.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5087638	5201869	2015-02-13	5043	PRJNA228944	SAMN03339595
Escherichia coli	E. coli	strain: RM9387	562	ASM80116v1	GCA_000801165.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4827630	4995948	2014-12-15	4711	PRJNA253935	SAMN03264844
Escherichia coli	E. coli	strain: 94-3024	562	ASM80118v2	GCA_000801185.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4884464	5045911	2015-06-18	4994	PRJNA253936	SAMN03262652
Escherichia coli str. K-12 substr. MG1655		strain: K-12 substr. MG1655	511145	ASM80120v1	GCA_000801205.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4636831	4636831	2014-12-15	4596	PRJNA237120	SAMN02743420
Escherichia coli O157:H7 str. SS52		strain: SS52	1330457	ASM80370v1	GCA_000803705.1	GenBank	Annotation submitted by Penn State	Complete Genome	5488700	5583430	2014-12-18	5889	PRJNA201344	SAMN03265100
Escherichia coli APEC IMT5155		strain: APEC IMT5155	1329907	ASM81316v1	GCA_000813165.1	GenBank	Annotation submitted by Nanjing Agricultural University	Complete Genome	4929051	5126057	2015-01-02	5154	PRJNA200980	SAMN03274236
Escherichia coli	E. coli	strain: 6409	562	ASM81414v2	GCA_000814145.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4761012	5106503	2015-02-27	5145	PRJNA270222	SAMN03263950
Escherichia coli	E. coli	strain: 789	562	ASM81964v1	GCA_000819645.1	GenBank	Annotation submitted by Georg-August University of Goettingen	Complete Genome	5017219	5273074	2015-01-16	5150	PRJNA262513	SAMN03083542
synthetic Escherichia coli C321.deltaA		strain: C321.deltaA substr. rEc.y.dC.46	1385755	ASM82690v1	GCA_000826905.1	GenBank		Complete Genome	4650162	4650162	2015-01-21		PRJNA272518	SAMN03283144
synthetic Escherichia coli C321.deltaA		strain: C321.deltaA substr. rEc.b.dC.12	1385755	ASM82692v1	GCA_000826925.1	GenBank		Complete Genome	4650152	4650152	2015-01-21		PRJNA272520	SAMN03283190
Escherichia coli O157:H16		strain: Santai	930406	ASM82710v1	GCA_000827105.1	GenBank		Complete Genome	5104557	5104557	2015-01-21		PRJNA240262	SAMN02673556
Escherichia coli 1303		strain: 1303	745156	ASM82998v1	GCA_000829985.1	GenBank	Annotation submitted by Georg-August-University Goettingen	Complete Genome	4948797	5156928	2015-01-29	4909	PRJNA46529	SAMN02949643
Escherichia coli	E. coli	strain: C41(DE3)	562	ASM83003v1	GCA_000830035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4557511	4557511	2015-01-29	4529	PRJNA273434	SAMN03292179
Escherichia coli ECC-1470		strain: ECC-1470	758831	ASM83156v1	GCA_000831565.1	GenBank	Annotation submitted by Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory	Complete Genome	4803751	4903812	2015-02-03	4677	PRJNA257276	SAMN02949644
Escherichia coli	E. coli	strain: BL21 (TaKaRa)	562	ASM83314v1	GCA_000833145.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4528118	4528118	2015-02-05	4491	PRJNA272570	SAMN03301757
Escherichia coli	E. coli	strain: USML2	562	ASM83363v2	GCA_000833635.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4502758	4502758	2017-03-17	4442	PRJNA273553	SAMN03294311
Escherichia coli	E. coli	strain: MNCRE44	562	ASM93156v1	GCA_000931565.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5010884	5292269	2015-02-23	5407	PRJNA272863	SAMN03287565
Escherichia coli	E. coli	strain: K-12 substr. RV308	562	EcRV308Chr	GCA_000952955.1	GenBank	Annotation submitted by Austrian Centre of Industrial Biotechnology	Complete Genome	4585620	4585620	2014-09-24	4464	PRJEB6354	SAMEA2547783
Escherichia coli	E. coli	strain: K-12 substr. HMS174	562	EcHMS174Chr	GCA_000953515.1	GenBank	Annotation submitted by Austrian Centre of Industrial Biotechnology	Complete Genome	4584860	4584860	2014-09-24	4456	PRJEB6353	SAMEA2547782
Escherichia coli	E. coli	strain: HUSEC2011	562	HUSEC2011CHR1	GCA_000967155.1	GenBank	Annotation submitted by Justus-Liebig-University Giessen	Complete Genome	5277676	5443340	2015-01-07	5608	PRJEA76335	SAMEA3865278
Escherichia coli VR50		strain: VR50	941323	ASM96851v1	GCA_000968515.1	GenBank	Annotation submitted by The University of Queensland	Complete Genome	5000386	5196066	2015-04-02	5099	PRJEA61445	SAMN03371467
Escherichia coli	E. coli	strain: CI5	562	ASM97161v1	GCA_000971615.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4885378	5092643	2015-04-13	5094	PRJNA277394	SAMN03390066
Escherichia coli K-12		strain: ER3454	83333	ASM97440v1	GCA_000974405.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4619729	4619729	2015-04-21	4594	PRJNA271807	SAMN03277616
Escherichia coli K-12		strain: ER3440	83333	ASM97446v1	GCA_000974465.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4604543	4604543	2015-04-21	4584	PRJNA271807	SAMN03277613
Escherichia coli K-12		strain: ER3476	83333	ASM97450v1	GCA_000974505.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4621164	4621164	2015-04-21	4593	PRJNA271807	SAMN03277619
Escherichia coli K-12		strain: ER3445	83333	ASM97453v1	GCA_000974535.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4607634	4607634	2015-04-21	4573	PRJNA271807	SAMN03277614
